Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Armenia,ARM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5839777180,5156523338,3001096441,2736999991,2884798066,3083849087,3264729195,3373153453,3619393655,3738833645,3959424831,4339529614,4912347523,5600076177,6188084175,7048227876,7978593955,9071661327,9697605959,8330243518,8513508876,8913643793,9555426146,9870755209,10226102396,10553337673,10574444348,11367527675,11958639114,12867495686,11889566014
American Samoa,ASM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744923664.1,752116030.5,755198473.3,752116030.5,721291603.1,734648855,715126717.6,685329771,687384732.8,687384732.8,657587786.3,641148091.6,652450381.7,673000000,661697709.9,615461068.7,636010687,626763358.8,
Antigua and Barbuda,ATG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,346269196.8,361448350,390652456.2,422535286.1,438654653,438286129.3,461795868.6,508737398.3,547624235,610567225.8,651025662.2,684965406.6,720941671.1,742654377.3,758818833.5,767609561.5,808138415.3,862095450.3,824511645.8,878966185.3,927059773.7,970920131.2,1006918140,1069381615,1020746102,1031233675,1093897040,1156982396,1231883484,1388433067,1517770927,1517553269,1336012966,1231261603,1207145958,1247861376,1240363272,1287444083,1336692593,1410181124,1454525660,1555621252,1607752623,1350938103
Australia,AUS,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2.052E+11,2.10301E+11,2.13026E+11,2.26265E+11,2.42055E+11,2.56538E+11,2.6265E+11,2.79204E+11,2.93432E+11,3.14102E+11,3.3663E+11,3.50108E+11,3.63806E+11,3.73315E+11,3.88633E+11,3.9388E+11,4.04072E+11,4.18608E+11,4.22363E+11,4.39441E+11,4.52774E+11,4.67887E+11,4.8346E+11,4.72725E+11,4.94382E+11,5.20334E+11,5.41343E+11,5.55153E+11,5.87038E+11,6.09704E+11,6.31477E+11,6.28965E+11,6.31557E+11,6.57008E+11,6.83183E+11,7.09402E+11,7.36916E+11,7.66147E+11,8.01211E+11,8.41861E+11,8.74972E+11,8.91867E+11,9.27554E+11,9.5525E+11,9.9399E+11,1.02584E+12,1.05451E+12,1.09505E+12,1.1351E+12,1.15709E+12,1.18101E+12,1.2101E+12,1.25751E+12,1.29001E+12,1.32269E+12,1.35169E+12,1.38914E+12,1.4211E+12,1.46302E+12,1.49463E+12,1.49037E+12
Austria,AUT,GDP (constant 2015 US$),NY.GDP.MKTP.KD,84896808898,89598376615,91971546518,95777575212,1.01643E+11,1.05181E+11,1.11116E+11,1.14458E+11,1.19577E+11,1.27082E+11,1.35115E+11,1.42026E+11,1.50843E+11,1.58219E+11,1.64457E+11,1.63859E+11,1.71361E+11,1.80066E+11,1.79686E+11,1.89312E+11,1.9259E+11,1.92312E+11,1.9618E+11,2.02012E+11,2.02116E+11,2.07166E+11,2.11934E+11,2.1481E+11,2.2189E+11,2.30515E+11,2.40532E+11,2.48811E+11,2.54019E+11,2.55358E+11,2.61492E+11,2.68468E+11,2.74776E+11,2.80529E+11,2.90576E+11,3.00909E+11,3.11067E+11,3.15009E+11,3.20212E+11,3.23226E+11,3.32067E+11,3.39519E+11,3.51246E+11,3.64338E+11,3.69659E+11,3.55743E+11,3.62278E+11,3.72867E+11,3.75404E+11,3.755E+11,3.77983E+11,3.81818E+11,3.89414E+11,3.98758E+11,4.09046E+11,4.1485E+11,3.88884E+11
Azerbaijan,AZE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20566346744,20422382279,15806923875,12155524569,9760886141,8609101602,8721019877,9226839031,10149523042,10900587705,12110552886,13309497638,14565769985,16052687484,17538171292,22442113734,30177059639,37861109489,41871145160,45794084060,47987273930,47232435252,48272937000,51093725410,52523116029,53074370486,51448384893,51527417147,52300535394,53597667955,51287614290
Burundi,BDI,GDP (constant 2015 US$),NY.GDP.MKTP.KD,798636586.1,688854922.4,751286931.9,782355707.4,831433177.5,864418007.4,904293548.7,1029280650,1026214591,1011236567,1226889547,1260590101,1179862354,1261143669,1251977178,1260714980,1360849297,1516931268,1502663377,1527682045,1542822226,1730479945,1712247611,1775863209,1778625457,1988204100,2052824321,2165793216,2274754801,2305452668,2386139411,2505370894,2530675100,2372760973,2281884228,2101158997,1933066277,1902330524,1992691224,1972565042,1955662841,1995867497,2084614133,2059104127,2158634173,2178061881,2295977951,2375234019,2490711080,2585675590,2718169830,2827782814,2953526065,3098963456,3230379700,3104394792,3085767803,3101196950,3151124146,3209182873,3218732667
Belgium,BEL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1.07367E+11,1.12712E+11,1.18586E+11,1.23747E+11,1.32355E+11,1.37068E+11,1.41394E+11,1.46863E+11,1.53023E+11,1.63168E+11,1.72277E+11,1.79144E+11,1.88631E+11,2.00669E+11,2.0983E+11,2.05705E+11,2.17333E+11,2.18693E+11,2.24908E+11,2.30174E+11,2.40403E+11,2.39731E+11,2.41158E+11,2.4191E+11,2.47876E+11,2.51971E+11,2.56563E+11,2.62481E+11,2.74879E+11,2.84415E+11,2.93338E+11,2.98715E+11,3.03288E+11,3.0037E+11,3.10063E+11,3.17458E+11,3.21653E+11,3.33855E+11,3.40405E+11,3.52464E+11,3.65564E+11,3.69584E+11,3.75892E+11,3.79794E+11,3.93357E+11,4.0249E+11,4.12763E+11,4.2794E+11,4.29852E+11,4.21166E+11,4.3323E+11,4.40571E+11,4.43827E+11,4.45866E+11,4.52904E+11,4.6215E+11,4.68004E+11,4.75593E+11,4.84096E+11,4.92735E+11,4.61772E+11
Benin,BEN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1651120631,1702986961,1644635648,1722427375,1836981870,1934229171,2003394551,2024999131,2102806394,2163314606,2208695702,2175635021,2315449324,2401263703,2481449394,2359973874,2380844453,2499497734,2530868381,2696279546,2879134858,3165730597,3236486776,3095770068,3341259668,3592867375,3670873613,3615810400,3738937614,3632222334,3958255491,4125523428,4247544481,4495438487,4586264346,4863513136,5073825258,5364793325,5577293440,5875201746,6219354273,6551040876,6855207726,7091272068,7405393051,7532259621,7829312268,8298002250,8704320326,8906198944,9094481754,9364019722,9814543623,10520350022,11189200117,11388160997,11768488384,12435944730,13268812215,14179807375,14725558724
Burkina Faso,BFA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1166782782,1213966637,1288368210,1272031490,1301069669,1350049028,1357307068,1477066546,1522423920,1553269462,1555087092,1577065758,1613519614,1620769599,1755073481,1807697304,1961982370,1969248641,2059988173,2135478942,2152496123,2244091363,2458675792,2467182435,2423298743,2629699942,2838902111,2832192741,2996335104,3060764317,3042310097,3318247150,3325969068,3441093661,3486344293,3685636767,4091600216,4350059840,4667950017,5013156021,5107828164,5445629565,5682675850,6126066286,6400419233,6954815433,7389711496,7693530544,8139754680,8380850213,9088720421,9690626622,10315931009,10913490065,11385699932,11832159276,12537116569,13314855268,14211109547,15021062489,15324846158
Bangladesh,BGD,GDP (constant 2015 US$),NY.GDP.MKTP.KD,22247412282,23595196298,24881849659,24768414727,27481246819,27922666607,28639388965,28102153000,30768893886,31144538361,32894815414,31092349587,26747589008,27637128280,30288069547,29049828420,30694444135,31514923831,33744238404,35364513431,35654198967,38233403645,39049429822,40564956312,42513416921,43934221545,45767764684,47494308687,48641893177,50021660426,52834007312,54675392831,57651202536,60367474528,62715845616,65927698356,68909554895,72003522586,75731164300,79267928093,83463813144,87701511126,91063218745,95379221373,1.00377E+11,1.06937E+11,1.14072E+11,1.22124E+11,1.29468E+11,1.36E+11,1.43578E+11,1.52859E+11,1.62828E+11,1.72619E+11,1.83082E+11,1.95079E+11,2.08956E+11,2.24176E+11,2.41805E+11,2.61518E+11,2.67731E+11
Bulgaria,BGR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,29790541306,31250326049,31979885408,33076893308,34200331342,35118076966,36595705876,38811397953,43059185945,41642589508,37845877590,34649658808,32129801179,31654211120,32229688223,33149862276,34853405690,29906726366,31188313874,28605604171,29973536613,31117698368,32970145659,34668715144,36902025051,39541826683,42231527998,45000683518,47739257538,46128134777,46386197007,47478386420,47647688166,47802909771,48704216731,50647442757,52582395148,54424225799,56107266493,58180041941,55763415892
Bahrain,BHR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,7719989594,7309541112,6757216272,7188081842,7547748015,7188605896,7273646666,8030033862,8592135562,8623411549,9006118310,10017505286,10687676226,12063180869,12033022738,12505919514,13019913571,13422619470,14065563317,14670382393,15447922938,15832722682,16362889423,17393169261,18607379554,19866912679,21151705947,22906020072,24336503493,24954622923,26036230938,26552663487,27542575573,29034512771,30297627559,31050638298,32155459790,33535234421,34112366712,34791105095,32768112473
"Bahamas, The",BHS,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2203938788,2439035086,2693962348,2977476432,3290158121,3633176730,3962775933,4343127680,4708895624,5131832740,4841902176,4920656139,4748564263,5107915132,4252123330,3622676142,3810518601,4159368882,4749147430,5990541124,6379643658,5791031892,6178967197,6401227852,7308355365,7661289009,7798962390,8031723931,8217233274,8770033657,8630042075,8269152288,7952809089,7977288336,8228486415,8588791436,8951541655,9567026333,9136166059,10250551584,10675870960,10956129611,11252456868,11110166592,11208240497,11588789413,11880462315,12052340989,11772303974,11280715451,11454256395,11524514989,11880240679,11561971464,11683871233,11710800000,11879908225,12250040251,12620726367,12774430894,10695042469
Bosnia and Herzegovina,BIH,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2436026765,2942720272,5560495549,7472726283,8638471335,9467764559,9988491636,10427985200,10980668500,11419895208,12116505018,13177820811,13891268500,14705174369,15505407428,15039554295,15169747094,15315302523,15189435781,15546365750,15725747661,16211541820,16722174086,17252506946,17897762971,18404449107,17608024950
Belarus,BLR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29452556634,29099127259,26305610636,24306383743,21462535898,19230432059,19768885051,22022539015,23872430403,24684092837,26115771070,27349821166,28729692799,30753180385,34274340535,37496129068,41245740030,44792876368,49361749507,49460470691,53317530167,56185324134,57133246704,57706562175,58702799524,56454734397,55028435772,56421856743,58198692498,59013474193,58482352925
