Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bhutan,MtCO2e,-6.61,-6.61,-6.61,-6.61,-6.61,-6.61,-6.61,-6.61,-6.61,-6.61,-6.61,-6.61,-6.61,-6.61,-6.61,-6.61,-6.61,-6.61,-6.61,-6.61,-6.61,-1.32,-1.32,-1.32,-1.32,-1.32,-1.32,-1.32,-1.32
Bolivia,MtCO2e,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,56.89,56.89,56.89,56.89,56.89,56.89,56.89,56.89,56.89,56.89,59.78,59.78,59.78,59.78,59.78,67.38,67.38,67.38
Bosnia and Herzegovina,MtCO2e,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,0.34,0.34,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,-3.72,-3.72,-3.72,-3.72,-3.72,-1.74,-1.74,-1.74
Botswana,MtCO2e,41.22,41.22,41.22,41.22,41.22,41.22,41.22,41.22,41.23,41.27,41.3,41.3,41.31,41.32,41.36,41.36,41.35,41.35,41.36,41.34,41.34,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33
Brazil,MtCO2e,1038.47,1038.47,1038.47,1038.47,1038.47,1038.47,1038.47,1038.48,1038.48,1038.49,1038.49,1101.04,1101.05,1101.05,1101.12,1101.12,1101.12,1101.12,1101.12,1101.12,1101.12,261.99,261.99,261.99,261.99,261.99,384.3,384.3,384.31
Brunei,MtCO2e,1.52,1.52,1.52,1.52,1.52,1.53,1.36,1.49,4.43,1.31,1.33,1.35,1.3,1.4,1.28,1.29,1.26,1.26,1.25,1.27,1.25,0.34,0.34,0.34,0.4,0.37,0.38,0.32,0.33
Bulgaria,MtCO2e,-21.76,-21.76,-21.76,-21.76,-21.76,-21.75,-21.76,-21.76,-21.76,-21.76,-21.76,-23.54,-23.55,-23.55,-23.55,-23.55,-23.55,-23.55,-23.56,-23.56,-23.56,-12.11,-12.11,-12.11,-12.11,-12.12,-33.8,-33.8,-33.81
Burkina Faso,MtCO2e,12.26,12.26,12.26,12.26,12.26,12.26,12.26,12.26,12.26,12.26,12.26,16.45,16.45,16.45,16.45,16.45,16.45,16.45,16.45,16.45,16.45,5.87,5.87,5.87,5.87,5.87,24.1,24.1,24.1
Burundi,MtCO2e,5.39,5.39,5.39,5.39,5.39,5.5,5.51,5.54,5.56,5.61,5.61,3.53,3.53,3.53,3.52,3.53,3.54,3.54,3.53,3.53,3.53,-1.41,-1.41,-1.41,-1.41,-1.41,3.5,3.49,3.48
Cambodia,MtCO2e,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,64.92,64.92,64.92,64.92,64.92,29.01,29.01,29.01
Cameroon,MtCO2e,52.85,52.85,52.85,52.85,52.85,52.86,52.86,52.86,52.87,52.9,52.95,41.32,41.32,41.32,41.34,41.34,41.34,41.35,41.36,41.39,41.42,33.68,33.7,33.71,33.71,33.71,33.78,33.78,33.76
Canada,MtCO2e,64.88,64.88,64.88,64.88,64.88,65.12,65.16,65.19,65.34,65.49,65.65,301.4,301.43,301.43,301.46,301.4,301.35,301.28,301.25,301.24,301.25,135.16,135.17,135.18,135.19,135.19,35.11,35.13,35.27
Cape Verde,MtCO2e,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06
Central African Republic,MtCO2e,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.98,13.98,13.98
Chad,MtCO2e,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,16.68,16.68,16.68,16.68,16.68,16.68,16.68,16.68,16.68,16.68,25.9,25.9,25.9,25.9,25.9,23.33,23.33,23.33
Chile,MtCO2e,-17.36,-17.36,-17.36,-17.36,-17.36,-17.36,-17.36,-17.36,-17.36,-17.36,-17.36,-36.09,-36.09,-36.09,-36.09,-36.09,-36.09,-36.09,-36.09,-36.09,-36.09,-81.35,-81.35,-81.35,-81.35,-81.35,-57.87,-57.87,-57.86
China,MtCO2e,-349.41,-349.41,-349.41,-349.41,-349.41,-349.38,-349.38,-349.38,-349.37,-349.36,-349.35,-332.25,-332.25,-332.25,-332.24,-332.24,-332.24,-332.23,-332.23,-332.23,-332.23,-710.17,-710.17,-710.17,-710.17,-710.17,-650.1,-650.1,-650.1
Colombia,MtCO2e,92.49,92.49,92.49,92.49,92.49,92.53,92.53,92.53,92.55,92.57,92.6,80.41,80.43,80.45,80.5,80.5,80.5,80.51,80.52,80.53,80.54,56.5,56.5,56.5,56.5,56.5,82.96,82.97,82.97
Comoros,MtCO2e,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Cook Islands,MtCO2e,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,MtCO2e,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,-0.45,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-7.27,-7.27,-7.27,-7.29,-7.29,-7.29,-7.3,-7.3
Croatia,MtCO2e,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.83,-0.83,-0.83,-0.83,-0.83,-0.83,-0.83,-0.83,-0.83,-0.83,-1.5,-1.5,-1.5,-1.5,-1.5,-4.34,-4.34,-4.34
Cuba,MtCO2e,-10.83,-10.83,-10.83,-10.83,-10.83,-10.83,-10.83,-10.83,-10.83,-10.83,-10.83,-10.25,-10.25,-10.25,-10.25,-10.25,-10.25,-10.25,-10.25,-10.25,-10.25,-12.71,-12.71,-12.71,-12.71,-12.71,-3.05,-3.05,-3.05
Cyprus,MtCO2e,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.32,-0.32,-0.32,-0.32,-0.32,-0.25,-0.25,-0.25
Czech Republic,MtCO2e,-9.44,-9.44,-9.44,-9.44,-9.44,-9.44,-9.44,-9.44,-9.44,-9.44,-9.44,-6.94,-6.94,-6.95,-6.95,-6.95,-6.95,-6.95,-6.95,-6.95,-6.95,-3.64,-3.64,-3.64,-3.64,-3.64,-5.82,-5.82,-5.82
Côte d'Ivoire,MtCO2e,60.3,60.3,60.3,60.3,60.29,60.51,60.54,60.59,60.63,60.63,60.66,26.58,26.58,26.59,26.59,26.59,26.58,26.59,26.59,26.6,26.61,26.61,26.61,26.62,26.63,26.63,26.64,26.64,26.64
Democratic Republic of the Congo,MtCO2e,367.71,367.71,367.71,367.71,367.71,367.71,367.72,367.72,367.72,367.71,367.71,367.7,367.7,367.7,367.7,367.7,367.7,367.7,367.7,367.7,367.7,601.37,601.37,601.37,601.37,601.37,601.37,601.37,601.37
Denmark,MtCO2e,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,-0.01,-0.01,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-1.95,-1.95,-1.95,-1.95,-1.95,0.86,0.86,0.86
Djibouti,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Dominica,MtCO2e,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Dominican Republic,MtCO2e,-7.27,-7.27,-7.27,-7.27,-7.27,-7.27,-7.27,-7.27,-7.27,-7.27,-7.27,-1.94,-1.94,-1.94,-1.94,-1.94,-1.94,-1.94,-1.94,-1.94,-1.94,-1.18,-1.18,-1.18,-1.18,-1.18,-1.56,-1.56,-1.56
Ecuador,MtCO2e,36.57,36.57,36.57,36.57,36.57,36.57,36.57,36.57,36.57,36.57,36.57,28.49,28.49,28.49,28.57,28.57,28.57,28.57,28.57,28.57,28.57,17.05,17.05,17.05,17.05,17.05,26.15,26.15,26.15
Egypt,MtCO2e,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,0.92,0.92,0.92,0.92,0.92,0.18,0.18,0.18
El Salvador,MtCO2e,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08
Equatorial Guinea,MtCO2e,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83
Eritrea,MtCO2e,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.38,0.38,0.38,0.38,0.38,0.45,0.45,0.45
Estonia,MtCO2e,-1.78,-1.78,-1.8,-1.8,-1.8,-1.75,-1.75,-1.74,-1.67,-1.5,-1.45,-1.42,-1.4,-1.39,-1.36,-1.36,-1.35,-1.34,-1.33,-1.32,-1.3,-6.16,-6.15,-6.15,-6.15,-6.15,1.94,1.93,1.95
Eswatini,MtCO2e,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13
Ethiopia,MtCO2e,26.29,26.29,26.29,26.29,26.29,26.32,26.33,26.33,26.36,26.43,26.42,31.02,31.08,31.06,31.09,31.13,31.13,31.13,31.17,31.23,31.25,31.75,31.74,31.69,31.58,31.58,31.8,31.77,31.71
Fiji,MtCO2e,-2.54,-2.54,-2.54,-2.54,-2.54,-2.54,-2.54,-2.54,-2.54,-2.54,-2.54,-2.55,-2.55,-2.55,-2.55,-2.54,-2.55,-2.55,-2.55,-2.55,-2.55,-2.55,-2.55,-2.55,-2.55,-2.55,-2.54,-2.54,-2.54
Finland,MtCO2e,-31.13,-31.13,-31.13,-31.13,-31.13,-31.11,-31.11,-31.09,-31.05,-30.87,-30.66,-15.3,-15.23,-15.18,-15.02,-14.99,-14.97,-14.95,-14.92,-14.87,-14.83,-54.68,-54.65,-54.65,-54.62,-54.62,6.62,6.7,6.94
France,MtCO2e,-24.85,-24.85,-24.85,-24.85,-24.85,-24.85,-24.86,-24.88,-24.89,-24.91,-24.93,-66.3,-66.35,-66.39,-66.47,-66.48,-66.48,-66.48,-66.48,-66.49,-66.49,-61.1,-61.1,-61.1,-61.11,-61.11,-61.98,-61.98,-61.98
Gabon,MtCO2e,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.65,3.65,3.15,3.16,3.17,3.19,3.19,3.19,3.19,3.19,3.19,3.18,6.44,6.44,6.44,6.45,6.45,6.45,6.46,6.46
Gambia,MtCO2e,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Georgia,MtCO2e,-18.27,-18.27,-18.27,-18.27,-18.27,-18.27,-18.27,-18.27,-18.27,-18.27,-18.27,-3.52,-3.52,-3.52,-3.52,-3.52,-3.52,-3.52,-3.52,-3.52,-3.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Germany,MtCO2e,-50.93,-50.93,-50.93,-50.93,-50.94,-50.94,-50.96,-50.97,-51.02,-51.02,-51.11,-18.11,-18.17,-18.25,-18.33,-18.32,-18.33,-18.33,-18.33,-18.34,-18.34,-29.21,-29.21,-29.21,-29.24,-29.24,-29.47,-29.48,-29.48
Ghana,MtCO2e,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.89,45.86,45.86,45.86,45.86,45.86,45.86,45.86,45.85,45.85,45.85,29.41,29.41,29.4,29.4,29.4,-24.93,-24.93,-24.93
Greece,MtCO2e,-0.93,-0.93,-0.93,-0.93,-0.93,-0.92,-0.92,-0.92,-0.92,-0.93,-0.93,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.09,-1.09,-1.09,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.39
Grenada,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Guatemala,MtCO2e,16.12,16.12,16.12,16.12,16.12,16.12,16.12,16.12,16.12,16.12,16.12,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,7.71,7.71,7.71,7.71,7.71,3.27,3.27,3.27
Guinea,MtCO2e,10.78,10.78,10.78,10.78,10.78,10.77,10.77,10.77,10.77,10.77,10.75,11.1,11.1,11.09,11.09,11.09,11.09,11.08,11.08,11.08,11.09,11.13,11.13,11.14,11.14,11.14,12.21,12.22,12.23
Guinea-Bissau,MtCO2e,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49
