year,forecasts
2019,60672.5318299534
2020,61376.5530636285
2021,62080.574297303596
2022,62784.595530978695
2023,63488.616764653794
2024,64192.63799832889
2025,64896.65923200399
2026,65600.68046567909
2027,66304.70169935419
2028,67008.72293302929
