Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bosnia and Herzegovina,MtCO2e,23.97,21.44,15.97,13.4,3.16,3.37,4.19,8.49,10.76,10.52,13.95,13.76,14.56,14.86,15.57,16.23,17.91,18.89,20.76,20.59,20.84,23.74,21.96,21.85,19.49,19.61,22.34,22.65,22.54
Botswana,MtCO2e,2.81,2.73,3.3,3.25,3.08,3.19,2.92,3.07,3.68,3.86,4.03,3.87,4.03,3.92,3.97,4.28,4.09,4.32,4.39,4.09,3.37,4,5.13,5.56,7.13,7.21,7.12,7.87,8.21
Brazil,MtCO2e,198.26,205.18,208.66,215.18,222.72,241.5,262.9,281.51,290.76,300.62,312.67,319.56,317.28,309.35,326.76,330.51,333.98,351.52,372.16,350.83,397.73,417.12,451.76,482.86,506.78,479.97,441.91,449.84,427.71
Brunei,MtCO2e,3.92,3.38,3.58,3.87,4.14,4.5,4.71,5.09,4.31,4.19,4.43,4.31,4.36,5.25,4.92,4.82,7.22,6.84,7.22,7.43,6.86,7.01,7.13,7.02,6.97,5.98,6.41,6.71,7.14
Bulgaria,MtCO2e,73.56,58.61,55.13,55.67,53.52,54.69,55.06,53.37,50.59,44.3,43.33,46.18,43.63,47.89,47.17,47.88,48.97,52.62,50.03,42.97,44.85,49.67,45.12,39.82,42.23,44.69,41.74,44.04,41.13
Burkina Faso,MtCO2e,0.59,0.6,0.61,0.62,0.62,0.64,0.72,0.82,0.88,0.93,1.05,1.02,1.02,1.1,1.13,1.15,1.4,1.68,1.91,1.93,2.09,2.2,2.71,2.97,3.02,3.4,3.5,4.07,4.27
Burundi,MtCO2e,0.19,0.23,0.2,0.21,0.21,0.22,0.22,0.23,0.23,0.23,0.26,0.21,0.22,0.17,0.16,0.16,0.19,0.19,0.2,0.2,0.32,0.37,0.39,0.41,0.39,0.41,0.46,0.57,0.59
Cambodia,MtCO2e,1.26,1.3,1.35,1.38,1.47,1.51,1.61,1.7,1.94,1.91,1.96,2.15,2.21,2.38,2.38,2.64,2.94,3.6,3.94,4.73,4.92,5.19,5.42,5.58,6.63,8.58,9.9,11.37,11.16
Cameroon,MtCO2e,2.9,2.65,2.53,6.66,7.29,7.11,6.34,6.59,6.76,6.52,6.7,6.33,6.22,6.1,6.54,6.61,6.95,8.12,8.21,8.79,8.99,7.97,7.06,7.37,7.75,8.01,8.55,8.32,8.62
Canada,MtCO2e,419.12,412.93,426,422.68,438.82,449.5,463.16,478.53,486.76,495.14,515,506.94,525.47,545.36,537.25,549.97,541.07,571.31,550.2,520.8,535.03,547.72,547.14,556.35,561.83,558.8,550.48,562.26,574.4
Cape Verde,MtCO2e,0.1,0.1,0.11,0.11,0.11,0.12,0.14,0.14,0.16,0.19,0.22,0.24,0.28,0.31,0.34,0.44,0.5,0.46,0.47,0.51,0.54,0.57,0.53,0.51,0.5,0.5,0.55,0.59,0.62
Central African Republic,MtCO2e,0.16,0.15,0.15,0.16,0.16,0.16,0.17,0.17,0.23,0.24,0.24,0.25,0.25,0.24,0.24,0.24,0.26,0.26,0.26,0.26,0.27,0.29,0.3,0.3,0.3,0.31,0.31,0.31,0.33
Chad,MtCO2e,0.39,0.4,0.41,0.41,0.42,0.43,0.45,0.46,0.47,0.49,0.51,0.52,0.53,0.76,0.77,0.8,0.81,0.88,0.95,0.96,1.03,0.82,0.89,0.92,0.94,0.97,1.02,1.02,1.07
Chile,MtCO2e,30.41,29.56,31.49,32.3,35.38,38.25,44.06,50.56,51.41,53.77,49.82,47.87,48.69,49.91,54.73,55.72,57.05,64.74,68.25,65.37,69.72,76.47,78.49,82.94,76.39,81.97,86.16,87.04,86.62
China,MtCO2e,2173.36,2302.18,2418.18,2643.53,2763.9,3084.86,3064.88,3128.65,3232.12,3149.2,3344.09,3526.75,3808.33,4413.3,5121.83,5819.12,6431.91,6988.21,7195.01,7715.11,8470.57,9278.25,9533.21,9936.68,9894.94,9830.43,9814.31,10017.77,10313.46
Colombia,MtCO2e,48.86,50.58,53.21,55.78,56.43,59.06,58.85,63.59,64.09,55.87,58.22,58.56,56.43,56.02,56.22,57.91,57.72,59.19,60,62.96,64.68,69.91,70.29,77.79,79.82,81.03,83.76,76.06,79.49
Comoros,MtCO2e,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.1,0.11,0.11,0.14,0.15,0.14,0.15,0.12,0.12,0.13,0.16,0.15,0.15,0.18,0.16,0.18,0.2,0.25,0.26
Cook Islands,MtCO2e,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.09
Costa Rica,MtCO2e,2.87,3.06,4.15,4.18,4.85,4.81,4.53,4.49,5.02,5.04,4.95,5.42,5.52,5.8,5.94,6.27,6.56,7.6,7.52,7.2,7.11,7.43,7.45,7.78,7.83,7.54,8.08,8.18,8.26
Croatia,MtCO2e,20.33,14.63,14.96,15.49,14.83,15.4,15.34,17.05,18.47,18.5,18.05,19.2,20.28,21.61,21.11,21.47,21.62,22.89,21.74,20.32,19.46,19.04,17.46,17.04,16.34,16.68,16.94,17.48,16.58
Cuba,MtCO2e,35.41,27.43,22.09,20.09,21.61,23.08,25.03,27.4,26.95,27.83,28.2,27.19,25.96,25.23,24.97,25.86,26.3,27.2,26.31,27.1,30.26,28.54,28.85,27.35,26.88,27.49,28.45,25.65,24.97
Cyprus,MtCO2e,4.56,5.07,5.43,5.69,5.93,5.8,6.16,6.25,6.55,6.81,7.07,6.93,7.11,7.77,7.71,7.87,7.93,8.24,8.4,8.18,7.82,7.55,7.02,6.38,6.75,6.78,7.15,7.3,7.23
Czech Republic,MtCO2e,150.2,136.9,134.14,130.98,124.71,125.18,126.74,124.79,118.92,111.95,123.17,122.72,118.53,122.77,123.44,120,120.6,123.63,118.31,111.17,113.93,110.98,107.17,102.72,99.75,100.98,102.86,103.42,102.48
Côte d'Ivoire,MtCO2e,2.71,2.79,2.77,2.96,3.09,3.26,3.88,4.79,4.83,6.69,6.33,6.26,6.38,5.15,5.42,5.81,5.63,5.55,6.36,5.93,6.22,5.99,7.88,8.46,8.96,9.56,9.32,10.38,9.91
Democratic Republic of the Congo,MtCO2e,3.18,1.74,1.48,1.43,1.28,1.24,1.25,1.2,1.33,1.32,0.92,0.79,0.88,1.07,1.17,1.49,1.6,1.75,1.87,1.92,2.06,2.52,2.43,3.65,4.79,2.89,2.06,2.28,2.2
Denmark,MtCO2e,52.08,62.73,57.01,59.29,63.19,59.92,73.3,63.72,59.74,56.96,52.71,53.85,53.98,59.34,53.89,50.27,58.21,53.4,50.12,47.89,48.18,43.09,38.21,39.98,35.76,33.6,35.38,33.33,33.38
