Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Dominican Republic,MtCO2e,0.46,0.53,0.59,0.55,0.55,0.62,0.7,0.79,0.8,0.97,1.07,1.16,1.28,1.21,1.1,1.14,1.54,1.65,1.67,1.52,1.61,1.56,1.61,1.65,1.86,1.92,1.92,1.92,1.92
Ecuador,MtCO2e,1.02,1.04,1.02,0.95,0.97,1.18,1.36,1.3,1.17,1.03,1.26,1.3,1.32,1.35,1.49,1.57,1.74,1.83,2.22,2.11,2.09,2.24,2.35,2.61,2.6,2.33,2.21,2.21,2.21
Egypt,MtCO2e,6.77,7.86,8.1,7.59,7.62,8.32,8.78,9.21,9.79,10.83,11.17,11.75,12.72,11.89,12.69,14.14,15.57,17.1,16.72,19.51,18.48,17.9,22.61,20.13,19.79,20.5,20.9,20.14,20.9
El Salvador,MtCO2e,0.28,0.29,0.18,0.37,0.37,0.38,0.41,0.44,0.46,0.44,0.45,0.5,0.56,0.58,0.52,0.46,0.53,0.52,0.52,0.48,0.51,0.52,0.54,0.47,0.39,0.39,0.39,0.39,0.39
Equatorial Guinea,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Eritrea,MtCO2e,FALSE,FALSE,FALSE,FALSE,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.07,0.1,0.1,0.12,0.08,0.08,0.08,0.08
Estonia,MtCO2e,FALSE,FALSE,0.32,0.23,0.33,0.35,0.36,0.4,0.4,0.36,0.37,0.38,0.36,0.34,0.36,0.37,0.41,0.6,0.6,0.26,0.31,0.42,0.41,0.4,0.42,0.21,0.19,0.31,0.31
Eswatini,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ethiopia,MtCO2e,0.14,0.12,0.12,0.14,0.19,0.25,0.28,0.3,0.3,0.26,0.36,0.36,0.36,0.45,0.52,0.62,0.68,0.63,0.7,0.65,0.63,0.8,1.34,1.95,2.09,2.89,3.2,3.2,3.2
Fiji,MtCO2e,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.05,0.06,0.05,0.04,0.06,0.06,0.06,0.07,0.07,0.08,0.09,0.09,0.09
Finland,MtCO2e,0.73,0.57,0.47,0.36,0.36,0.38,0.38,0.45,0.45,0.48,0.5,0.5,0.48,0.47,0.53,0.54,0.57,0.61,0.62,0.39,0.53,0.56,0.5,0.48,0.47,0.46,0.55,0.6,0.6
France,MtCO2e,10.94,10.39,9.34,8.59,8.78,8.63,8.44,8.11,8.69,8.39,8.56,8.65,8.64,8.56,9.06,9.11,9.17,9.33,8.88,7.68,7.89,8.06,7.5,7.3,6.97,6.61,6.64,6.48,6.48
Gabon,MtCO2e,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.08,0.08,0.07,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.08,0.07,0.07,0.06,0.09,0.09,0.09
Gambia,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
